,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
6,Senate,117,328705,2023-11-20T22:54:16Z,https://api.congress.gov/v3/committee-meeting/117/senate/328705?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2021-02-12T05:00:00Z,Organizational business meeting to consider an original resolution authorizing expenditures by the committee for the 117th Congress.,none
86,Senate,117,333451,2022-12-07T01:08:16Z,https://api.congress.gov/v3/committee-meeting/117/senate/333451?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2022-12-13T15:00:00Z,Hearings to examine the Department of the Interior's implementation of the Infrastructure Investment and Jobs Act.,none
101,Senate,117,333381,2022-11-28T23:08:13Z,https://api.congress.gov/v3/committee-meeting/117/senate/333381?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2022-12-01T15:00:00Z,"Business meeting to consider the nominations of David Crane, of New Jersey, to be Under Secretary, Jeffrey Matthew Marootian, of the District of Columbia, to be an Assistant Secretary (Energy Efficiency and Renewable Energy), and Gene Rodrigues, of California, to be an Assistant Secretary (Electricity Delivery and Energy Reliability), all of the Department of Energy; to be immediately followed by a hearing to examine S.3112, to amend the Energy Policy Act of 2005 to establish a Hydrogen Technologies for Heavy Industry Grant Program, S.3152, to amend the Energy Policy Act of 2005 to disqualify certain borrowers from receiving a guarantee for a project, S.3915, to require the Secretary of Energy to provide technology grants to strengthen domestic mining education, S.3957, to amend the Infrastructure Investment and Jobs Act to make certain activities eligible for grants from the Abandoned Mine Reclamation Fund, S.3978, to require the Secretary of Energy to carry out a program to operate a uranium reserve consisting of uranium produced and converted in the United States and a program to ensure the availability of uranium produced, converted, and enriched in the United States, S.4420, to provide for advancements in carbon removal research, quantification, and commercialization, including by harnessing natural processes, S.4424, to amend the Recreation and Public Purposes Act to authorize sales and leases of certain Federal land to federally recognized Indian Tribes, S.4515, to require the Secretary of Energy to stipulate, as a condition on the sale at auction of any crude oil from the Strategic Petroleum Reserve, that the crude oil not be exported to certain countries, S.4542, to establish the Dolores River National Conservation Area and the Dolores River Special Management Area in the State of Colorado, to protect private water rights in the State, S.4579, to amend the Energy and Water Development and Related Agencies Appropriations Act, 2015, to extend certain deadlines applicable to pilot projects to increase Colorado River System water to address effects of historic drought conditions, S.4651, to amend the Energy Policy and Conservation Act to require the Secretary of Energy to stipulate, as a condition on the sale at auction of any petroleum products from the Strategic Petroleum Reserve, that the petroleum products not be exported to certain countries, to prohibit such sales to certain state-owned entities, S.4732, to authorize the Georgetown African American Historic Landmark Project and Tour to establish a commemorative work in the District of Columbia and its environs, S.4860, to provide for the establishment of a grazing management program on Federal land in Malheur County, Oregon, S.4995, to require the Secretary of Agriculture and the Secretary of the Interior to prioritize the completion of the Continental Divide National Scenic Trail, S.5129, to modify the boundary of the Mammoth Cave National Park in the State of Kentucky, S.J.Res.62, approving the location of a memorial to commemorate the commitment of the United States to a free press by honoring journalists who sacrificed their lives in service to that cause, and an original bill to establish a new organization to manage nuclear waste, provide a consensual process for siting nuclear waste facilities, ensure adequate funding for managing nuclear water.",none
110,Senate,117,333380,2022-11-23T01:08:15Z,https://api.congress.gov/v3/committee-meeting/117/senate/333380?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2022-11-29T15:00:00Z,"Business meeting to consider the nominations of Beth Pritchard Geer, of Tennessee, to be a Member of the Board of Directors of the Tennessee Valley Authority, Joseph Goffman, of Pennsylvania, to be an Assistant Administrator of the Environmental Protection Agency, Shailen P. Bhatt, of Michigan, to be Administrator of the Federal Highway Administration, Department of Transportation, Juan Eduardo Sanchez, of Texas, to be Federal Cochairperson of the Southwest Border Regional Commission, and 18 GSA resolutions.",none
112,Senate,117,333163,2022-11-16T23:08:13Z,https://api.congress.gov/v3/committee-meeting/117/senate/333163?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2022-11-30T15:00:00Z,"Hearings to examine putting the Bipartisan Infrastructure law to work, focusing on the private sector perspective.",none
119,Senate,117,333329,2022-11-11T03:08:16Z,https://api.congress.gov/v3/committee-meeting/117/senate/333329?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2022-11-17T16:00:00Z,"Hearings to examine the nominations of David Crane, of New Jersey, to be Under Secretary, Jeffrey Matthew Marootian, of the District of Columbia, to be an Assistant Secretary (Energy Efficiency and Renewable Energy), and Gene Rodrigues, of California, to be an Assistant Secretary (Electricity Delivery and Energy Reliability), all of the Department of Energy.",none
131,Senate,117,333135,2022-09-29T00:08:15Z,https://api.congress.gov/v3/committee-meeting/117/senate/333135?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2022-09-29T16:00:00Z,"Business meeting to consider the nominations of L. Michelle Moore, of Georgia, Robert P. Klein, of Tennessee, William J. Renick, of Mississippi, Adam Wade White, of Kentucky, and Joe H. Ritch, of Alabama, each to be a Member of the Board of Directors of the Tennessee Valley Authority, and 5 GSA resolutions.",none
133,Senate,117,333205,2022-09-28T00:08:17Z,https://api.congress.gov/v3/committee-meeting/117/senate/333205?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2022-09-28T14:00:00Z,Hearings to examine stakeholder views on the Brownfields Program reauthorization.,none
139,Senate,117,333180,2022-09-23T18:08:14Z,https://api.congress.gov/v3/committee-meeting/117/senate/333180?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2022-09-29T14:00:00Z,"Hearings to examine S.4729, to amend the Agricultural Credit Act of 1978 to waive the cost share requirement under the emergency forest restoration program for land damaged by the Hermit's Peak/Calf Canyon Fire, S.4833, to improve the health and resiliency of giant sequoias, S.4835, to provide for the removal of small-diameter trees in fire hazard areas, S.4837, to amend the Omnibus Public Land Management Act of 2009 to establish within the Mount Hood National Forest in the State of Oregon Indian Treaty Resources Emphasis Zones, S.4877, to amend Public Law 91-378 to authorize activities relating to Civilian Conservation Centers, S.4884, to require the Secretary of the Interior, in coordination with the Secretary of Agriculture, to establish a joint natural infrastructure science program, S.4891, to amend the Federal Land Policy and Management Act of 1976 to authorize certain construction activities on public lands, S.4904, to address the forest health crisis on the National Forest System and public lands, S.4935, to require the Secretary of the Interior and the Secretary of Agriculture to implement measures to better prepare for and more quickly respond to wildfires on certain public land and in certain National Forests, S.4942, to amend the Southwest Forest Health and Wildfire Prevention Act of 2004 to require the establishment of an additional Institute under that Act, S.4944, to provide for the operation and establishment of, and procurement of supplies for, firewood banks, and S.4945, to require the Secretary of Agriculture to establish a pilot program for the establishment and use of a pre-fire suppression stand density index.",none
151,Senate,117,333166,2022-09-20T00:08:14Z,https://api.congress.gov/v3/committee-meeting/117/senate/333166?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2022-09-21T14:00:00Z,"Hearings to examine putting the Bipartisan Infrastructure law to work, focusing on state and local perspectives.",none
