,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
0,Senate,116,327665,2023-11-20T22:54:07Z,https://api.congress.gov/v3/committee-meeting/116/senate/327665?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-07-23T04:00:00Z,"An oversight hearing to examine the impacts of the COVID-19 pandemic on users of public lands, forests, and national parks.",none
2,Senate,116,326063,2023-11-20T22:53:38Z,https://api.congress.gov/v3/committee-meeting/116/senate/326063?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2019-06-27T04:00:00Z,"Business meeting to consider the nominations of Daniel Habib Jorjani, of Kentucky, to be Solicitor, and Mark Lee Greenblatt, of Maryland, to be Inspector General, both of the Department of the Interior.",none
39,Senate,116,325904,2023-11-20T21:09:04Z,https://api.congress.gov/v3/committee-meeting/116/senate/325904?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2019-06-05T14:00:00Z,"Hearings to examine the nomination of Robert Wallace, of Wyoming, to be Assistant Secretary of the Interior for Fish and Wildlife.",none
42,Senate,116,325903,2023-11-20T21:09:03Z,https://api.congress.gov/v3/committee-meeting/116/senate/325903?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2019-06-04T14:00:00Z,Hearings to examine opportunities for the expanded deployment of grid-scale energy storage in the United States.,none
49,Senate,116,325925,2023-11-20T21:09:03Z,https://api.congress.gov/v3/committee-meeting/116/senate/325925?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2019-06-04T14:00:00Z,"Hearings to examine the nomination of Robert Wallace, of Wyoming, to be Assistant Secretary of the Interior for Fish and Wildlife.",none
85,Senate,116,328041,2021-09-27T13:33:07Z,https://api.congress.gov/v3/committee-meeting/116/senate/328041?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-09-22T14:15:00Z,"Hearings to examine emerging offshore and marine energy technologies in the United States, including offshore wind, marine and hydrokinetic energy, and alternative fuels for maritime shipping.",none
138,Senate,116,327566,2021-09-27T13:31:23Z,https://api.congress.gov/v3/committee-meeting/116/senate/327566?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-06-09T14:00:00Z,"Business meeting to consider the nomination of Mark Wesley Menezes, of Virginia, to be Deputy Secretary of Energy; to be immediately followed by a hearing to examine wildfire management in the midst of the COVID-19 pandemic.",none
171,Senate,116,327295,2021-09-27T13:30:26Z,https://api.congress.gov/v3/committee-meeting/116/senate/327295?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2020-03-11T14:00:00Z,"Hearings to examine the nominations of Douglas Benevento, of Colorado, to be Deputy Administrator of the Environmental Protection Agency, and David A. Wright, of South Carolina, and Christopher T. Hanson, of Michigan, both to be a Member of the Nuclear Regulatory Commission.",none
176,Senate,116,327242,2021-09-27T13:30:17Z,https://api.congress.gov/v3/committee-meeting/116/senate/327242?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-03-05T14:30:00Z,"Hearings to examine the latest developments and longer-term prospects for global energy markets, with a special focus on the United States, from the perspective of the International Energy Agency.",none
178,Senate,116,327268,2021-09-27T13:30:13Z,https://api.congress.gov/v3/committee-meeting/116/senate/327268?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-03-03T14:30:00Z,"Business meeting to consider the nomination of James P. Danly, of Tennessee, to be a Member of the Federal Energy Regulatory Commission, Department of Energy; to be immediately followed by hearings to examine the President's proposed budget request for fiscal year 2021 for the Department of Energy.",none
183,Senate,116,325634,2021-09-27T13:29:59Z,https://api.congress.gov/v3/committee-meeting/116/senate/325634?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-03-03T15:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2021 for the Department of Energy.,none
225,Senate,116,328362,2020-12-03T04:53:11Z,https://api.congress.gov/v3/committee-meeting/116/senate/328362?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2020-12-02T14:45:00Z,"Business meeting to consider S.4897, to reestablish United States global leadership in nuclear energy, revitalize domestic nuclear energy supply chain infrastructure, support the licensing of advanced nuclear technologies, and improve the regulation of nuclear energy, and General Services Administration resolutions.",none
230,Senate,116,328284,2020-11-19T04:53:11Z,https://api.congress.gov/v3/committee-meeting/116/senate/328284?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2020-11-18T15:00:00Z,"Business meeting to consider the nominations of Allison Clements, of Ohio, and Mark C. Christie, of Virginia, both to be a Member of the Federal Energy Regulatory Commission.",none
257,Senate,116,328049,2020-09-24T03:53:09Z,https://api.congress.gov/v3/committee-meeting/116/senate/328049?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2020-09-23T14:00:00Z,"Hearings to examine the Endangered Species Act Amendments of 2020, focusing on modernizing the Endangered Species Act.",none
