,chamber,congress,eventId,updateDate,url,committees,date,title,witnesses
29,Senate,118,336301,2024-11-19T23:08:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/336301?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-11-20T14:45:00Z,"Business meeting to consider the nominations of Matthew James Marzano, of Illinois, to be a Member of the Nuclear Regulatory Commission, Matthew Kaplan, of Maryland, to be Federal Cochairperson of the Great Lakes Authority, and 53 General Services Administration resolutions; to be immediately followed by a hearing to examine the 50th anniversary of the Safe Drinking Water Act, focusing on successes, challenges, and charting a path forward.",none
30,Senate,118,336261,2024-11-19T19:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/336261?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}, {'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-11-19T14:30:00Z,"Business meeting to consider S.254, to amend the Omnibus Parks and Public Lands Management Act of 1996 to provide for the establishment of a Ski Area Fee Retention Account, S.373, to modify the disposition of certain outer Continental Shelf revenues and to open Federal financial sharing to heighten opportunities for renewable energy, S.482, to amend the Klamath Basin Water Supply Enhancement Act of 2000 to provide the Secretary of the Interior with certain authorities with respect to projects affecting the Klamath Basin watershed, S.620, to provide for the distribution of certain outer Continental Shelf revenues to the State of Alaska, S.739, to clarify jurisdiction with respect to certain Bureau of Reclamation pumped storage development, S.914, to establish an energy threat analysis center in the Department of Energy, S.1553, to amend the Federal Land Policy and Management Act of 1976 to improve the management of grazing permits and leases, S.1764, to improve Federal activities relating to wildfires, S.2132, to require the Secretary of Agriculture to establish a pilot program for the establishment and use of a pre-fire-suppression stand density index, S.2151, to amend the Southwest Forest Health and Wildlife Prevention Act of 2004 to require the establishment of an additional Institute under that Act, S.2156, to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to authorize additional entities to be eligible to complete the maintenance work on Bolts Ditch and the Bolts Ditch Headgate within the Holy Cross Wilderness, Colorado, S.2160, to amend the Omnibus Public Land Management Act of 2009 to authorize certain extraordinary operation and maintenance work for urban canals of concern, S.2169, to authorize the Secretary of the Interior to carry out watershed pilots, S.2620, to establish the Chesapeake National Recreation Area as a unit of the National Park System, S.2742, to establish the Fort Ontario National Monument in the State of New York as a unit of the National Park System, S.2743, to amend the John D. Dingell, Jr. Conservation, Management, and Recreation Act to designate as a component of the National Heritage Area System the Finger Lakes National Heritage Area in the State of New York, S.2784, to amend the Dayton Aviation Heritage Preservation Act of 1992 to adjust the boundary of the Dayton Aviation Heritage National Historical Park, S.2867, to address the forest health crisis on the National Forest System and public lands, S.2927, to amend the Omnibus Public Land Management Act of 2009 to increase Tribal access to water conservation and efficiency grants, S.2991, to improve revegetation and carbon sequestration activities in the United States, S.3123, to provide for the standardization, consolidation, and publication of data relating to public outdoor recreational use of Federal waterways among Federal land and water management agencies, S.3195, to designate the General George C. Marshall House, in the Commonwealth of Virginia, as an affiliated area of the National Park System, S.3241, to establish the Grand Village of the Natchez Indians and Jefferson College as affiliated areas of the Natchez Historical Park, S.3346, to amend the Wild and Scenic Rivers Act to designate certain streams in the greater Yellowstone ecosystem and Smith River system in the State of Montana as components of the Wild and Scenic Rivers System, S.3474, to redesignate the Hulls Cove Visitor Center at Acadia National Park as the ""George J. Mitchell, Jr., Visitor Center"", S.3534, to authorize the Pines Foundation to establish the Fire Island AIDS Memorial, S.3542, to amend the Atchafalaya National Heritage Area Act to modify the boundary of the Atchafalaya National Heritage Area, S.3543, to establish the Historic Greenwood District-Black Wall Street National Monument in the State of Oklahoma, S.3544, to designate the visitor and education center at Fort McHenry National Monument and Historic Shrine as the ""Paul S. Sarbanes Visitor and Education Center"", S.3593, to provide for economic development and conservation in Washoe County, Nevada, S.3596, to amend the Mineral Leasing Act to amend references of gilsonite to asphaltite, S.3617, to provide equitable treatment for the people of the Village Corporation established for the Native Village of Saxman, Alaska, S.3631, to require reports on critical mineral and rare earth element resources around the world and a strategy for the development of advanced mining, refining, separation, and processing technologies, S.3985, to amend the Colorado Wilderness Act of 1993 to add certain land to the Sarvis Creek Wilderness, S.4016, to amend the Boulder Canyon Project Act to authorize the Secretary of the Interior to expend amounts in the Colorado River Dam fund, S.4129, to contribute funds and artifacts to the Theodore Roosevelt Presidential Library in Medora, North Dakota, S.4164, to authorize the Secretary of the Interior to conduct a special resource study of",none
66,Senate,118,336194,2024-09-18T20:23:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/336194?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-09-19T14:00:00Z,Hearings to examine fusion energy technology development and commercialization efforts.,none
73,Senate,118,336182,2024-09-17T22:08:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/336182?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-09-18T14:00:00Z,"Hearings to examine America's regional commissions, focusing on sharing best practices in regional and economic development.",none
84,Senate,118,336162,2024-09-11T18:23:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/336162?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-09-12T14:00:00Z,"Hearings to examine the Department of Energy's lead role in conducting advanced computing research, application, and security.",none
90,Senate,118,336161,2024-09-10T22:08:12Z,https://api.congress.gov/v3/committee-meeting/118/senate/336161?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-09-11T14:00:00Z,"Hearings to examine the nomination of Matthew James Marzano, of Illinois, to be a Member of the Nuclear Regulatory Commission.",none
103,Senate,118,336089,2024-07-30T22:08:18Z,https://api.congress.gov/v3/committee-meeting/118/senate/336089?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-07-31T14:00:00Z,"Business meeting to consider S.4753, to reform leasing, permitting, and judicial review for certain energy and minerals projects, and the nomination of Shannon A. Estenoz, of Florida, to be Deputy Secretary of the Interior.",none
134,Senate,118,335981,2024-07-09T22:08:13Z,https://api.congress.gov/v3/committee-meeting/118/senate/335981?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-07-10T14:00:00Z,"Hearings to examine the nomination of Shannon A. Estenoz, of Florida, to be Deputy Secretary of the Interior.",none
137,Senate,118,335941,2024-07-09T22:08:13Z,https://api.congress.gov/v3/committee-meeting/118/senate/335941?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-07-10T14:00:00Z,"Hearings to examine the state and federal response to the Francis Scott Key Bridge collapse on March 26, 2024.",none
156,Senate,118,335893,2024-06-12T22:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/335893?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-06-13T13:30:00Z,An oversight hearing to examine the Bureau of Land Management.,none
161,Senate,118,335924,2024-06-11T22:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335924?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-06-12T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Fish and Wildlife Service.,none
173,Senate,118,335741,2024-06-11T18:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/335741?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-06-12T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Fish and Wildlife Service.,none
181,Senate,118,335856,2024-06-04T22:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/335856?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-06-05T14:00:00Z,An oversight hearing to examine the budget of the Federal Highway Administration.,none
199,Senate,118,335860,2024-06-03T22:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/335860?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-06-04T14:00:00Z,"Business meeting to consider the nominations of David Rosner, of Massachusetts, Lindsay S. See, of West Virginia, and Judy W. Chang, of Massachusetts, all to be a Member of the Federal Energy Regulatory Commission.",none
209,Senate,118,335836,2024-05-22T18:08:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/335836?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-05-22T13:45:00Z,"Business meeting to consider S.4359, to amend the National Dam Safety Program Act to reauthorize that Act, S.3564, to amend title 40, United States Code, to include Indian Tribes among entities that may receive Federal surplus real property for certain purposes, S.3880, to amend the Federal Assets Sale and Transfer Act of 2016 to make improvements to that Act, S.4293, to designate the United States courthouse annex located at 310 South Main Street in London, Kentucky, as the ""Eugene E. Siler, Jr. United States Courthouse Annex"", H.R.4688, to direct the Administrator of General Services to sell the property known as the Webster School, and S.4367, to provide for improvements to the rivers and harbors of the United States, to provide for the conservation and development of water and related resources; to be immediately followed by a hearing to examine Federal programs for the circular economy, focusing on state and local perspectives on efforts to improve reuse and recycling.",none
226,Senate,118,335825,2024-05-21T00:08:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/335825?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-05-21T14:00:00Z,"Hearings to examine the opportunities, risks, and challenges associated with growth in demand for electric power in the United States.",none
237,Senate,118,335756,2024-05-15T20:08:20Z,https://api.congress.gov/v3/committee-meeting/118/senate/335756?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-05-16T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Forest Service.,none
263,Senate,118,335761,2024-05-07T22:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335761?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-05-08T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Environmental Protection Agency.,none
278,Senate,118,335692,2024-05-01T22:08:17Z,https://api.congress.gov/v3/committee-meeting/118/senate/335692?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-05-02T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Department of the Interior.,none
288,Senate,118,335724,2024-05-01T00:08:19Z,https://api.congress.gov/v3/committee-meeting/118/senate/335724?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-05-01T13:45:00Z,"Business meeting to consider S.3738, to reauthorize the Great Lakes Restoration Initiative, a Committee Resolution to rescind approval of lease prospectus by the General Services Administration identified as POH-01-CL22, and the nomination of Christopher T. Hanson, of Michigan, to be a Member of the Nuclear Regulatory Commission.",none
305,Senate,118,335672,2024-04-16T22:08:13Z,https://api.congress.gov/v3/committee-meeting/118/senate/335672?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-04-17T14:00:00Z,"Hearings to examine the nomination of Christopher T. Hanson, of Michigan, to be a Member of the Nuclear Regulatory Commission.",none
318,Senate,118,335667,2024-04-15T22:08:11Z,https://api.congress.gov/v3/committee-meeting/118/senate/335667?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-04-16T14:00:00Z,Hearings to examine the President's proposed budget request for fiscal year 2025 for the Department of Energy.,none
339,Senate,118,335624,2024-04-09T22:08:12Z,https://api.congress.gov/v3/committee-meeting/118/senate/335624?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-04-10T14:00:00Z,Hearings to examine the state of air quality monitoring technology.,none
355,Senate,118,335542,2024-03-20T22:08:14Z,https://api.congress.gov/v3/committee-meeting/118/senate/335542?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-03-21T14:00:00Z,"Hearings to examine the nominations of David Rosner, of Massachusetts, Lindsay S. See, of West Virginia, and Judy W. Chang, of Massachusetts, each to be a Member of the Federal Energy Regulatory Commission.",none
361,Senate,118,335551,2024-03-20T00:08:13Z,https://api.congress.gov/v3/committee-meeting/118/senate/335551?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-03-20T14:00:00Z,Hearings to examine PFAS as hazardous substances.,none
376,Senate,118,335537,2024-03-11T22:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335537?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-03-12T14:00:00Z,"Business meeting to consider S.3791, to reauthorize the America's Conservation Enhancement Act, S.3858, to establish within the Office of Land and Emergency Management of the Environmental Protection Agency the Office of Mountains, Deserts, and Plains, and S.3891, to amend the Public Works and Economic Development Act of 1965 to update and expand Federal economic development investment in the economic recovery, resiliency, and competitiveness of communities, regions, and States across the United States.",none
383,Senate,118,335520,2024-03-11T22:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335520?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-03-12T14:00:00Z,Hearings to examine the findings and recommendations of the Wildland Fire Mitigation and Management Commission.,none
395,Senate,118,335503,2024-03-05T23:08:17Z,https://api.congress.gov/v3/committee-meeting/118/senate/335503?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-03-06T15:00:00Z,Hearings to examine extended producer responsibility policies for consumer packaging.,none
409,Senate,118,335370,2024-02-27T21:08:17Z,https://api.congress.gov/v3/committee-meeting/118/senate/335370?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-02-28T15:00:00Z,"Hearings to examine the Water Resources Development Act, focusing on USACE water infrastructure projects, programs and priorities.",none
412,Senate,118,335460,2024-02-27T21:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335460?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-02-28T15:00:00Z,Hearings to examine the opportunities and challenges associated with developing geologic hydrogen in the United States.,none
424,Senate,118,335400,2024-02-07T23:08:16Z,https://api.congress.gov/v3/committee-meeting/118/senate/335400?format=json,"[{'name': 'Senate Energy and Natural Resources', 'systemCode': 'sseg00', 'url': 'https://api.congress.gov/v3/committee/senate/sseg00?format=json'}]",2024-02-08T14:30:00Z,Hearings to examine the administration's pause on liquefied natural gas (LNG) export approvals and the Department of Energy's process for assessing LNG export applications.,none
436,Senate,118,335360,2024-01-30T23:08:13Z,https://api.congress.gov/v3/committee-meeting/118/senate/335360?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-01-31T15:00:00Z,"Hearings to examine avoiding, detecting, and capturing methane emissions from landfills.",none
447,Senate,118,335344,2024-01-23T23:08:15Z,https://api.congress.gov/v3/committee-meeting/118/senate/335344?format=json,"[{'name': 'Senate Environment and Public Works', 'systemCode': 'ssev00', 'url': 'https://api.congress.gov/v3/committee/senate/ssev00?format=json'}]",2024-01-24T15:00:00Z,An oversight hearing to examine the Toxic Substances Control Act amendments implementation.,none
