,noun_phrase,Dtotal_frequency,Dhouse_frequency,Dsenate_frequency,phrase_category
3,representatives,11,11,27,lawmaker
23,rep. pete stauber,4,4,8,lawmaker
95,(rep. lamborn,2,2,5,lawmaker
96,rep. huffman,2,2,5,lawmaker
137,(ranking member bruce westerman,2,2,6,lawmaker
